,tier,name,Component,Component2,Description
113,a,Edge of Night,sword,chain,Once per combat: At 60% Health
114,a,Edge of Night,sword,chain,Once per combat: At 60% Health
115,a,Edge of Night,sword,chain,Once per combat: At 60% Health
116,b,Gargoyle Stoneplate,chain,cloak,Grants Armor 15 Armor and MR 15 Magic Resist for each enemy targeting the holder.
117,b,Gargoyle Stoneplate,chain,cloak,Grants Armor 15 Armor and MR 15 Magic Resist for each enemy targeting the holder.
118,b,Gargoyle Stoneplate,chain,cloak,Grants Armor 15 Armor and MR 15 Magic Resist for each enemy targeting the holder.
119,b,Gargoyle Stoneplate,chain,cloak,Grants Armor 15 Armor and MR 15 Magic Resist for each enemy targeting the holder.
120,b,Runaan's Hurricane,bow,cloak,Attacks fire a bolt at a nearby enemy
121,b,Runaan's Hurricane,bow,cloak,Attacks fire a bolt at a nearby enemy
122,b,Runaan's Hurricane,bow,cloak,Attacks fire a bolt at a nearby enemy
123,b,Runaan's Hurricane,bow,cloak,Attacks fire a bolt at a nearby enemy
124,s,Chalice of Power,tear,cloak,Combat start: Grant AP @ChaliceAP@ Ability Power to the holder and allies within 1 hex in the same row.​​
125,s,Chalice of Power,tear,cloak,Combat start: Grant AP @ChaliceAP@ Ability Power to the holder and allies within 1 hex in the same row.​​
126,s,Chalice of Power,tear,cloak,Combat start: Grant AP @ChaliceAP@ Ability Power to the holder and allies within 1 hex in the same row.​​
127,s,Chalice of Power,tear,cloak,Combat start: Grant AP @ChaliceAP@ Ability Power to the holder and allies within 1 hex in the same row.​​
128,s,Ionic Spark,rod,cloak,50% Shred enemies within 2 hexes. When enemies cast an Ability
129,s,Ionic Spark,rod,cloak,50% Shred enemies within 2 hexes. When enemies cast an Ability
130,s,Ionic Spark,rod,cloak,50% Shred enemies within 2 hexes. When enemies cast an Ability
131,s,Ionic Spark,rod,cloak,50% Shred enemies within 2 hexes. When enemies cast an Ability
132,c,Bloodthirster,sword,cloak,Grant 20% Omnivamp.Once per combat at 40% Health
133,c,Bloodthirster,sword,cloak,Grant 20% Omnivamp.Once per combat at 40% Health
134,c,Bloodthirster,sword,cloak,Grant 20% Omnivamp.Once per combat at 40% Health
135,c,Bloodthirster,sword,cloak,Grant 20% Omnivamp.Once per combat at 40% Health
136,b,Dragon's Claw,cloak,cloak,Every @HealthRegenInterval@ seconds
137,b,Dragon's Claw,cloak,cloak,Every @HealthRegenInterval@ seconds
138,b,Dragon's Claw,cloak,cloak,Every @HealthRegenInterval@ seconds
139,b,Dragon's Claw,cloak,cloak,Every @HealthRegenInterval@ seconds
140,b,Statikk Shiv,bow,tear,Every 3rd attack unleashes chain lightning that bounces to 4 enemies
141,b,Statikk Shiv,bow,tear,Every 3rd attack unleashes chain lightning that bounces to 4 enemies
142,b,Statikk Shiv,bow,tear,Every 3rd attack unleashes chain lightning that bounces to 4 enemies
143,b,Statikk Shiv,bow,tear,Every 3rd attack unleashes chain lightning that bounces to 4 enemies
144,b,Blue Buff,tear,tear,Abilities cost Mana @ManaReduction@ less Mana to cast. If the holder gets at least 1 takedown within @TakedownTimer@ seconds of casting
145,b,Blue Buff,tear,tear,Abilities cost Mana @ManaReduction@ less Mana to cast. If the holder gets at least 1 takedown within @TakedownTimer@ seconds of casting
146,b,Blue Buff,tear,tear,Abilities cost Mana @ManaReduction@ less Mana to cast. If the holder gets at least 1 takedown within @TakedownTimer@ seconds of casting
147,b,Blue Buff,tear,tear,Abilities cost Mana @ManaReduction@ less Mana to cast. If the holder gets at least 1 takedown within @TakedownTimer@ seconds of casting
148,b,Archangel's Staff,rod,tear,Combat start: Grant AP 20 Ability Power every 5 seconds.
149,b,Archangel's Staff,rod,tear,Combat start: Grant AP 20 Ability Power every 5 seconds.
150,b,Archangel's Staff,rod,tear,Combat start: Grant AP 20 Ability Power every 5 seconds.
151,b,Archangel's Staff,rod,tear,Combat start: Grant AP 20 Ability Power every 5 seconds.
152,b,Spear of Shojin,sword,tear,Every 3rd attack restores Mana 20 additional Mana.
153,b,Spear of Shojin,sword,tear,Every 3rd attack restores Mana 20 additional Mana.
154,b,Spear of Shojin,sword,tear,Every 3rd attack restores Mana 20 additional Mana.
155,b,Spear of Shojin,sword,tear,Every 3rd attack restores Mana 20 additional Mana.
156,b,Rapid Firecannon,bow,bow,Grant Range 1 bonus Attack Range and your attacks cannot miss.
157,b,Rapid Firecannon,bow,bow,Grant Range 1 bonus Attack Range and your attacks cannot miss.
158,b,Rapid Firecannon,bow,bow,Grant Range 1 bonus Attack Range and your attacks cannot miss.
159,b,Rapid Firecannon,bow,bow,Grant Range 1 bonus Attack Range and your attacks cannot miss.
160,b,Giant Slayer,sword,bow,Abilities and attacks deal 25% more damage to enemies with more than 1600 maximum Health.
161,b,Giant Slayer,sword,bow,Abilities and attacks deal 25% more damage to enemies with more than 1600 maximum Health.
162,b,Giant Slayer,sword,bow,Abilities and attacks deal 25% more damage to enemies with more than 1600 maximum Health.
163,b,Giant Slayer,sword,bow,Abilities and attacks deal 25% more damage to enemies with more than 1600 maximum Health.
164,d,Guinsoo's Rageblade,bow,rod,Attacks grant AS 5% bonus Attack Speed. This effect stacks.
165,d,Guinsoo's Rageblade,bow,rod,Attacks grant AS 5% bonus Attack Speed. This effect stacks.
166,d,Guinsoo's Rageblade,bow,rod,Attacks grant AS 5% bonus Attack Speed. This effect stacks.
167,d,Guinsoo's Rageblade,bow,rod,Attacks grant AS 5% bonus Attack Speed. This effect stacks.
168,a,Rabadon's Deathcap,rod,rod,This humble hat can help you make
169,a,Rabadon's Deathcap,rod,rod,This humble hat can help you make
170,a,Rabadon's Deathcap,rod,rod,This humble hat can help you make
171,a,Rabadon's Deathcap,rod,rod,This humble hat can help you make
172,b,Hextech Gunblade,sword,rod,Grant 22% Omnivamp
173,b,Hextech Gunblade,sword,rod,Grant 22% Omnivamp
174,b,Hextech Gunblade,sword,rod,Grant 22% Omnivamp
175,b,Hextech Gunblade,sword,rod,Grant 22% Omnivamp
176,b,Deathblade,sword,sword,Perfect peace and calm for the holder - and all who face it.
177,b,Deathblade,sword,sword,Perfect peace and calm for the holder - and all who face it.
178,b,Deathblade,sword,sword,Perfect peace and calm for the holder - and all who face it.
179,b,Deathblade,sword,sword,Perfect peace and calm for the holder - and all who face it.
